Unnamed: 0,address,final_price,commune,rooms
10.6,Inspektorsbacken 32,7960000,"Vällingby - Nälsta, Stockholms kommun",5.0
11.6,Bergslagsvägen 164,10600000,"Bromma - Norra Ängby, Stockholms kommun",7.0
12.6,Vassvägen 8A,6800000,"Snättringe, Huddinge kommun",5.0
13.6,Julitavägen 6,9000000,"Örby Slott - Älvsjö, Stockholms kommun",5.0
14.6,Frivägen 5,9300000,"Mellansjö, Huddinge kommun",5.0
15.6,Ehrenstrahlsvägen 34,17750000,"Södra Ängby, Stockholms kommun",7.0
16.6,Ankarstocksvägen 9,8550000,"Bällsta, Stockholms kommun",5.0
17.6,Skällnoravägen 3,16000000,"Nockebyhov, Stockholms kommun",6.0
18.6,Grenvägen 3,11500000,"Ulvsunda, Stockholms kommun",6.0
19.6,Karin Boyes gata 15,7000000,"Fruängen, Stockholms kommun",4.0
20.6,Orrspelsvägen 86,12600000,"Bromma Ålsten, Stockholms kommun",5.0
21.6,Sundbyvägen 25,8700000,"Spånga Sundby, Stockholms kommun",7.0
22.6,Järpstigen 7,19000000,"Ålsten, Stockholms kommun",7.0
23.6,Bardabacken 17,26000000,"Höglandet, Stockholms kommun",
24.6,Martebogatan 30,12000000,"Beckomberga, Stockholms kommun",6.0
25.6,Lingvägen 70,7525000,"Tallkrogen, Stockholms kommun",5.0
26.6,Svedmyrastigen 11,9400000,"Svedmyra, Stockholms kommun",6.0
27.6,Tryffelgränd 2,18600000,"Gamla Enskede, Stockholms kommun",7.0
28.6,Högliden 11,14750000,"Älta - Kolarängen, Nacka kommun",8.0
29.6,Gärdesvägen 3,7850000,"Trollbäcken, Tyresö kommun",
30.6,Inspektorsbacken 45,9225000,"Vällingby Nälsta, Stockholms kommun",7.0
