asked_price,final_price,pourcentage_difference,land_area,area,commune,price_per_area,rooms,supplemental_area
8495000.0,8550000,1.0,717.0,173.0,"Skälby, Järfälla kommun",49422.0,5.0,53.0
12695000.0,15450000,22.0,611.0,170.0,"Mälarhöjden, Stockholms kommun",90882.0,10.0,50.0
8800000.0,9100000,3.0,800.0,153.0,"Tureberg, Sollentuna kommun",59477.0,7.0,32.0
7775000.0,7350000,5.0,694.0,141.0,"Vällingby - Nälsta, Stockholms kommun",52128.0,6.0,101.0
9950000.0,11200000,13.0,797.0,130.0,"Vällingbyhöjden, Stockholms kommun",86154.0,5.0,81.0
7250000.0,8000000,10.0,511.0,114.0,"Örby, Stockholms kommun",70175.0,5.0,54.0
16500000.0,20500000,24.0,823.0,196.0,"Duvbo, Sundbybergs kommun",104592.0,8.0,133.0
7175000.0,8350000,16.0,595.0,112.0,"Vällingby Nälsta, Stockholms kommun",74554.0,5.0,62.0
9275000.0,10025000,8.0,975.0,172.0,"Spånga Solhem, Stockholms kommun",58285.0,9.0,67.0
13900000.0,16000000,15.0,447.0,142.0,"Bromma - Norra Ängby, Stockholms kommun",112676.0,8.0,70.0
5995000.0,6600000,10.0,538.0,69.0,"Gubbängen - Enskede, Stockholms kommun",95652.0,5.0,69.0
6795000.0,7430000,9.0,539.0,65.0,"Vällingby - Råcksta, Stockholms kommun",114308.0,5.0,65.0
7200000.0,7200000,0.0,675.0,77.0,"Älvsjö, Stockholms kommun",93506.0,5.0,77.0
6995000.0,7275000,4.0,645.0,68.0,"Älvsjö/Långbro, Stockholms kommun",106985.0,5.0,68.0
11900000.0,13270000,12.0,547.0,79.0,"Bromma Södra Ängby, Stockholms kommun",167975.0,8.0,79.0
8950000.0,11050000,23.0,1076.0,182.0,"Huddinge - Stuvsta, Huddinge kommun",60714.0,6.0,50.0
6995000.0,6800000,3.0,647.0,66.0,"Sköndal, Stockholms kommun",103030.0,5.0,79.0
10850000.0,10850000,0.0,573.0,129.0,"Olovslund, Stockholms kommun",84109.0,6.0,29.0
5750000.0,7450000,30.0,1058.0,80.0,"Stuvsta, Huddinge kommun",93125.0,5.0,80.0
11500000.0,11000000,4.0,973.0,122.0,"Bromma Kyrka, Stockholms kommun",90164.0,8.0,100.0
8550000.0,9800000,15.0,396.0,150.0,"Stora Ursvik, Sundbybergs kommun",65333.0,5.0,0.0
8900000.0,8900000,0.0,1399.0,159.0,"Helenelund/Fågelsången, Sollentuna kommun",55975.0,6.0,16.0
9900000.0,11700000,18.0,1124.0,121.0,"Enskede - Stureby, Stockholms kommun",96694.0,5.0,37.0
11000000.0,11200000,2.0,661.0,130.0,"Mariehäll, Stockholms kommun",86154.0,7.0,66.0
4995000.0,4900000,2.0,776.0,,"Hässelby Södra Villastad, Stockholms kommun",,,0.0
11500000.0,11500000,0.0,1470.0,185.0,"Segeltorp/Långsjön, Huddinge kommun",62162.0,5.0,57.0
