address,final_price,land_area,area,commune,price_per_area,rooms,sale_date,status
Havsörnsvägen 31,7500000,662.0,120.0,"Fagersjö, Stockholms kommun",62500.0,4.0,2025-07-08,Sold
Markvägen 45,8550000,814.0,183.0,"Vällingby Nälsta, Stockholms kommun",46721.0,6.0,2023-03-17,Sold
Bovägen 4A,9030000,1265.0,128.0,"Lindalen, Tyresö kommun",70547.0,7.0,2025-02-12,Available
Fållnäsgatan 66,10450000,499.0,118.0,"Tallkrogen, Stockholms kommun",88559.0,6.0,2025-10-14,Available
Hälleskåran 36,16900000,1175.0,187.0,"Mälarhöjden, Stockholms kommun",90374.0,7.0,2024-05-23,Available
Maj Brings Väg 16,9500000,307.0,136.0,"Sköndal, Stockholms kommun",69853.0,6.0,2025-01-13,Available
Stackvägen 10,11300000,1266.0,166.0,"Töjnan, Sollentuna kommun",68072.0,8.0,2023-03-21,Sold
Mickelsbergsvägen 117,8250000,798.0,105.0,"Älvsjö - Herrängen, Stockholms kommun",78571.0,6.0,2025-02-24,Available
Trevingevägen 39,8200000,,89.0,"Ulvsunda, Stockholms kommun",92135.0,4.0,2024-04-06,Available
Ryttmästarvägen 9,4900000,93.0,85.0,"Rissne, Sundbybergs kommun",57647.0,3.0,2023-01-25,Sold
Storhagsvägen 45,12500000,700.0,142.0,"Älvsjö - Herrängen, Stockholms kommun",88028.0,8.0,2025-04-24,Available
Storsvängen 46,17650000,875.0,193.0,"Mälarhöjden, Stockholms kommun",91451.0,8.0,2025-02-15,Sold
Moravägen 15,22000000,820.0,266.0,"Bromma Nockeby, Stockholms kommun",82707.0,10.0,2024-05-24,Sold
Pettersbergsvägen 84,15000000,501.0,204.0,"Mälarhöjden, Stockholms kommun",73529.0,6.0,2025-08-09,Sold
Oviksgatan 69,7250000,453.0,67.0,"Vällingby Parkstad / Råcksta, Stockholms kommun",108209.0,6.0,2025-03-03,Available
Pilbågsvägen 4,8000000,726.0,142.0,"Flysta, Stockholms kommun",56338.0,9.0,2025-10-04,Sold
Stamdikesvägen 18,8800000,640.0,174.0,"Vällingby Nälsta, Stockholms kommun",50575.0,6.0,2023-01-12,Sold
Skogsslingan 22,5700000,752.0,166.0,"Johannesdal, Stockholms kommun",34337.0,5.0,2024-03-10,Sold
Örnsätrabacken 194 - Accepterat pris!,6800000,471.0,166.0,"Sätra, Stockholms kommun",40964.0,8.0,2023-06-16,Available
Skovelvägen 21,11750000,716.0,140.0,"Älvsjö, Stockholms kommun",83929.0,7.0,2023-02-14,Sold
Sörgårdsvägen 76,8835000,765.0,156.0,"Spånga - Solhem, Stockholms kommun",56635.0,7.0,2024-10-24,Sold
Dalkarlsvägen 47,9000000,1288.0,142.0,"Stuvsta Segersminne, Huddinge kommun",63380.0,6.0,2025-08-07,Available
Solrosvägen 81,9300000,1002.0,114.0,"Älvsjö/Herrängen, Stockholms kommun",81579.0,5.0,2025-04-02,Sold
Gränsvägen 34,12000000,1049.0,172.0,"Lindalen, Tyresö kommun",69767.0,,2025-12-14,Sold
Gråhundsvägen 212,6650000,286.0,195.0,"Sköndal, Stockholms kommun",34103.0,6.0,2023-04-02,Available
